epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,22666.3,1.31387,0.46561,1.23459,0.96996,0.98201,0.99178,0.65008,1.32133,0.40293,1.35209,0.0005942,0.0005942,0.0005942
73,22862.8,1.32052,0.4688,1.22684,0.96869,0.98306,0.99191,0.6499,1.33517,0.40991,1.34983,0.0005744,0.0005744,0.0005744
74,23056,1.30812,0.46458,1.22402,0.96424,0.97852,0.99082,0.65034,1.3287,0.41086,1.35648,0.0005546,0.0005546,0.0005546
75,23268.8,1.30207,0.46639,1.22502,0.96688,0.98133,0.99146,0.64963,1.32619,0.4083,1.35246,0.0005348,0.0005348,0.0005348
76,23476.6,1.30376,0.4649,1.2168,0.97111,0.98064,0.99191,0.65128,1.32142,0.40183,1.35182,0.000515,0.000515,0.000515
77,23667.8,1.29611,0.46126,1.21797,0.96603,0.98288,0.99167,0.65297,1.32335,0.40773,1.35414,0.0004952,0.0004952,0.0004952
78,23859.7,1.28439,0.4563,1.20479,0.96874,0.98133,0.99209,0.65151,1.32241,0.40215,1.35583,0.0004754,0.0004754,0.0004754
79,24055,1.28815,0.45162,1.2119,0.97162,0.98237,0.99224,0.65853,1.32683,0.39916,1.3512,0.0004556,0.0004556,0.0004556
80,24250.2,1.27433,0.45354,1.2097,0.97313,0.97634,0.99193,0.65131,1.33065,0.4052,1.36063,0.0004358,0.0004358,0.0004358
81,24460.8,1.27521,0.44639,1.21148,0.97229,0.97788,0.99162,0.65477,1.32174,0.40058,1.35322,0.000416,0.000416,0.000416
82,24674.4,1.28277,0.45637,1.2131,0.97112,0.97995,0.99157,0.65042,1.32021,0.40063,1.35813,0.0003962,0.0003962,0.0003962
83,24893.1,1.27715,0.45123,1.20397,0.97479,0.97373,0.99183,0.65182,1.32547,0.39957,1.36078,0.0003764,0.0003764,0.0003764
84,60199.3,1.28208,0.45475,1.20547,0.97082,0.97304,0.99147,0.65458,1.32489,0.40117,1.3538,0.0003566,0.0003566,0.0003566
85,60570.4,1.27131,0.45038,1.19416,0.9737,0.97252,0.99113,0.65286,1.32121,0.40287,1.35033,0.0003368,0.0003368,0.0003368
86,60911.8,1.26735,0.44716,1.20983,0.96825,0.97822,0.99191,0.65178,1.32344,0.40217,1.34983,0.000317,0.000317,0.000317
87,61247.2,1.26034,0.44478,1.20651,0.97328,0.97408,0.99148,0.6569,1.31349,0.39695,1.34899,0.0002972,0.0002972,0.0002972
88,61583.9,1.26044,0.44381,1.20272,0.97338,0.97788,0.99194,0.64877,1.32116,0.40089,1.35435,0.0002774,0.0002774,0.0002774
89,61795.3,1.25797,0.44596,1.20578,0.97345,0.97578,0.99208,0.65351,1.31781,0.398,1.35077,0.0002576,0.0002576,0.0002576
90,62046.3,1.24962,0.44008,1.19201,0.97075,0.9803,0.9918,0.65372,1.32343,0.39728,1.35894,0.0002378,0.0002378,0.0002378
91,62677,1.25157,0.41228,1.256,0.96859,0.98049,0.99206,0.65435,1.32278,0.39671,1.35498,0.000218,0.000218,0.000218
92,63124.2,1.24612,0.40817,1.24922,0.97411,0.97526,0.99175,0.65562,1.31721,0.39596,1.35859,0.0001982,0.0001982,0.0001982
93,63507.7,1.24076,0.40876,1.24795,0.97279,0.97621,0.9922,0.65529,1.32644,0.40019,1.35859,0.0001784,0.0001784,0.0001784
94,63952.5,1.2574,0.41296,1.25597,0.97118,0.97852,0.99194,0.6554,1.32053,0.39962,1.35553,0.0001586,0.0001586,0.0001586
95,64374.1,1.23155,0.40663,1.23739,0.97185,0.97857,0.99206,0.65785,1.3155,0.39467,1.35454,0.0001388,0.0001388,0.0001388
96,64863.1,1.22152,0.40303,1.23036,0.97384,0.9778,0.99218,0.65644,1.31842,0.39487,1.35651,0.000119,0.000119,0.000119
97,65269,1.22113,0.40244,1.23141,0.97183,0.97891,0.99215,0.65863,1.3187,0.39423,1.35905,9.92e-05,9.92e-05,9.92e-05
98,65639.4,1.22177,0.39803,1.23375,0.97446,0.97595,0.99173,0.65738,1.32198,0.39435,1.35805,7.94e-05,7.94e-05,7.94e-05
99,65954.5,1.21715,0.40009,1.23158,0.97394,0.97511,0.99178,0.65677,1.32375,0.39486,1.36022,5.96e-05,5.96e-05,5.96e-05
100,66347.3,1.21623,0.39769,1.23844,0.97439,0.97615,0.99182,0.65694,1.32221,0.39367,1.35811,3.98e-05,3.98e-05,3.98e-05
